TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
VN-IDX,150624,592.19,594.01,589.02,590.02,128936836
VN-IDX,150625,589.29,590.37,585.34,587.99,114600820
VN-IDX,150626,586.04,592.59,581.75,581.75,152466275
VN-IDX,150629,580.16,591.75,579.61,591.75,121736895
VN-IDX,150630,588.77,598.98,588.77,593.05,156142734
VN-IDX,150701,594.52,594.52,587.33,591.5,133015191
VN-IDX,150702,590.52,605.7,590.52,605.7,136673256
VN-IDX,150703,608.82,617.96,608.82,616.43,164545634
VN-IDX,150706,618.75,625.34,618.65,625.22,179746153
VN-IDX,150707,623.89,633.73,620.59,630.27,175372826
VN-IDX,150708,630.4,634.13,617.29,623.17,191326801
VN-IDX,150709,616.2,626.38,613.34,622.1,148192176
VN-IDX,150710,627.56,630.79,624.7,627.28,216829191
VN-IDX,150713,631.56,637.07,627.69,634.06,140485030
VN-IDX,150714,635.55,640.43,628.43,638.69,155025876
VN-IDX,150715,640.43,641.06,630.89,630.89,141789461
VN-IDX,150716,627.32,632.21,622.57,626.9,132735829
VN-IDX,150717,628.45,631.67,626.21,628.63,106876812
VN-IDX,150720,624.84,624.84,616.11,620.54,120577490
VN-IDX,150721,619.9,624.47,613.83,616.61,100715190
VN-IDX,150722,614.56,629.94,613.58,629.85,120809536
VN-IDX,150723,632.07,637.91,631.43,632.01,120931816
VN-IDX,150724,633.27,634.61,627.99,631.26,111646685
VN-IDX,150727,629.68,636.84,629.42,635.46,123978732
VN-IDX,150728,636.58,639.54,631.47,631.47,155012385
VN-IDX,150729,632,634.64,624.7,624.7,114155520
VN-IDX,150730,625.46,627.11,622.43,626.57,102580431
VN-IDX,150731,628.31,629.97,621.06,621.06,112601314
VN-IDX,150803,617.12,617.12,605.63,609.47,129775440
VN-IDX,150804,607.95,609.91,600.76,600.76,83579840
VN-IDX,150805,600.68,608.21,600.68,607.08,108568356
VN-IDX,150806,607.84,609.31,600.85,601.04,110438300
VN-IDX,150807,601.57,604.04,597.75,603.76,87763805
VN-IDX,150810,603.82,614.53,603.82,614.53,90733790
VN-IDX,150811,615.17,619.69,611.17,613.05,119704416
VN-IDX,150812,609.33,611.46,602.01,604.24,112168470
VN-IDX,150813,603.31,603.31,590.44,594.26,126466967
VN-IDX,150814,592.8,598.55,585.97,589.03,90668550
VN-IDX,150817,588.67,591.2,571.26,573.15,108220070
VN-IDX,150818,571.31,580.22,571.22,580.22,93866701
VN-IDX,150819,576.44,580.99,569.21,577.82,106329590
VN-IDX,150820,577.82,577.82,565.09,566.69,113118145
VN-IDX,150821,559.34,559.97,542.31,556.3,185890140
VN-IDX,150824,550.48,550.48,523.55,526.93,174559919
VN-IDX,150825,511.13,535.48,511.13,529.98,177692294
VN-IDX,150826,530.05,545.89,530.05,545.89,124142260
VN-IDX,150827,551.89,558.93,551.44,555.81,127733040
VN-IDX,150828,561.36,570.87,559.35,570.87,165727370
VN-IDX,150831,573.1,573.1,563.99,564.75,127965687
VN-IDX,150901,565.75,569.18,561.28,562.31,98666090
VN-IDX,150903,559.32,561.43,551.47,554.3,93471190
VN-IDX,150904,554.85,558.9,554.77,556.81,66984681
VN-IDX,150907,557.07,560.09,554.44,554.93,75024450
VN-IDX,150908,554.48,566.72,554.34,566.72,107299931
VN-IDX,150909,574.06,574.73,569.69,572.34,89599390
VN-IDX,150910,567.51,576.13,567.09,572.07,70327858
VN-IDX,150911,572.14,573.99,566.18,566.74,94986910
VN-IDX,150914,569.21,572.25,561.46,562.17,84875711
VN-IDX,150915,564.38,565.05,561.1,563.27,85238120
VN-IDX,150916,561.86,564.82,561.69,564.13,74657307
VN-IDX,150917,563.93,565.85,562.48,562.48,88373514
VN-IDX,150918,564.69,569.5,564.69,566.25,153413503
VN-IDX,150921,566.74,572.26,565.16,572.12,109412321
VN-IDX,150922,573.09,575.17,570.26,573.2,121249664
VN-IDX,150923,570.64,573.85,569.51,572.72,107830778
VN-IDX,150924,573.5,575.36,570.12,570.25,107033234
VN-IDX,150925,570.41,572.09,567.71,570.38,79089825
VN-IDX,150928,571.29,572.15,564.88,564.88,86044001
VN-IDX,150929,559.83,561.76,557.65,561.19,93139990
VN-IDX,150930,562.5,565.65,562.5,562.64,83821689
VN-IDX,151001,563.39,565.63,563.23,563.54,82587308
VN-IDX,151002,563.33,565.01,561.73,562.31,81795149
VN-IDX,151005,564.58,570,563.95,570,98664048
VN-IDX,151006,577.45,581.38,574.63,581.29,179239993
VN-IDX,151007,583.97,587.3,579.57,579.57,126077827
VN-IDX,151008,580.04,588.35,579.82,586.78,194056072
VN-IDX,151009,590.91,593.02,587.57,588.02,162687753
VN-IDX,151012,587.72,594.74,587.25,592.1,152110985
VN-IDX,151013,589.09,591.66,588.54,590.84,115293788
VN-IDX,151014,592.45,593.73,589.62,589.98,113476812
VN-IDX,151015,591.36,594.17,588.98,592.4,115345487
VN-IDX,151016,592.4,599.74,592.4,593.02,132294470
VN-IDX,151019,593.87,598.11,591.6,594.61,107689287
VN-IDX,151020,594.97,596.37,588.26,590.45,118292310
VN-IDX,151021,590.43,594.5,589.84,590.24,100314613
VN-IDX,151022,590.24,595.81,589.74,595.08,94881079
VN-IDX,151023,598.55,602.55,598.25,601.74,104409506
VN-IDX,151026,604.41,606.79,598.61,598.61,102759469
