TICKER,DATE,CLOSE,OPEN,HIGH,LOW,VOLUME
VN30-IDX,20171106,844.73,842.91,845.67,839.88,60376564
VN30-IDX,20171105,840.04,828.44,840.04,826.59,60825770
VN30-IDX,20171104,827.66,835.36,843.34,826.71,56179880
VN30-IDX,20171103,835.38,832.1,835.44,831.63,58160353
VN30-IDX,20171102,831.62,836.65,839.79,829.72,52491370
VN30-IDX,20171101,837.52,835.33,841.32,835.33,66275970
VN30-IDX,20171031,834.91,823.16,834.91,820.16,42785489
VN30-IDX,20171030,822.53,820.01,825.9,815.16,48028979
VN30-IDX,20171029,821.45,816.05,821.61,812.98,62323245
VN30-IDX,20171028,815.24,807.6,815.24,804.43,64260560
VN30-IDX,20171027,809.36,811.49,813.23,806.58,54567200
VN30-IDX,20171026,813.99,816.99,821.54,813.38,61592236
VN30-IDX,20171025,817.39,817.62,821.08,815.29,54302416
VN30-IDX,20171024,816.84,819.36,821.29,815.06,65566265
VN30-IDX,20171023,818.48,811.73,818.48,811.24,53015730
VN30-IDX,20171022,811.85,815.27,817.72,811.39,49243495
VN30-IDX,20171021,815.47,807.9,815.47,807.45,38306070
VN30-IDX,20171020,809.6,807.63,813.21,806.65,46041720
VN30-IDX,20171019,806.83,804.84,810.12,804.48,57085952
VN30-IDX,20171018,805.3,800.23,805.3,798.63,41993820
VN30-IDX,20171017,801.49,802.89,803.23,798.96,42859900
VN30-IDX,20171016,800.42,797.82,800.73,796.23,39451130
VN30-IDX,20171015,797.42,797.41,801.36,796.71,55222660
VN30-IDX,20171014,795.76,786.17,795.76,786.12,33182630
VN30-IDX,20171013,787.02,791.71,793.19,785.1,42148370
VN30-IDX,20171012,790.7,793.64,796.03,790.37,40122249
VN30-IDX,20171011,792.72,791.4,797.26,791.4,41792428
VN30-IDX,20171010,790.75,788.15,795.95,788.15,64702439
VN30-IDX,20171009,788.31,788.02,791.43,787.61,39535620
VN30-IDX,20171008,791.05,791.03,791.05,785.24,52522540
VN30-IDX,20171007,789.89,789.81,791.16,785.69,39702290
VN30-IDX,20171006,789.7,786.51,791.65,785.99,41383824
VN30-IDX,20171005,786.41,790.46,791,786,40684150
VN30-IDX,20171004,790.48,793.93,793.98,789.43,37534090
VN30-IDX,20171003,792.68,794.15,797.54,792.68,47163353
VN30-IDX,20171002,793.7,792.16,795.32,789.83,47041020
VN30-IDX,20171001,789.49,786.22,789.88,784.49,55159133
VN30-IDX,20170930,789.41,786.82,793.16,786.82,50018990
VN30-IDX,20170929,786.43,785.46,786.96,783.56,41147820
VN30-IDX,20170928,782.54,777.55,783.58,775.81,44574497
VN30-IDX,20170927,779.58,785.06,789.53,779.58,42957350
VN30-IDX,20170926,784.74,780.62,786.85,780.18,38650890
VN30-IDX,20170925,779.2,777.16,780.54,776,43800790
VN30-IDX,20170924,776.97,776.87,777.99,772.63,40692560
VN30-IDX,20170923,777.02,775.28,778.71,771.68,39811180
VN30-IDX,20170922,774.06,770.97,774.76,770.39,38755420
VN30-IDX,20170921,770.08,765.47,772.91,764.22,55318580
VN30-IDX,20170920,764.57,756.49,764.57,755.32,36302490
VN30-IDX,20170919,754.59,757.84,758.76,754.59,47014640
VN30-IDX,20170918,758.02,751.59,758.02,749.2,52888505
VN30-IDX,20170917,751.14,746.87,751.14,746.87,35046040
VN30-IDX,20170916,747.72,743.23,749.82,742.34,36778910
VN30-IDX,20170915,743.1,739.46,743.1,736.71,29879400
VN30-IDX,20170914,738.2,743.86,743.86,736.88,33121000
VN30-IDX,20170913,743.66,744.23,744.96,741.68,32651580
VN30-IDX,20170912,744.3,739.31,745.91,738.33,36151825
VN30-IDX,20170911,743.2,749.35,750.58,743.2,49411647
VN30-IDX,20170910,749.37,745.66,749.37,741.57,46529548
VN30-IDX,20170909,746.07,752.13,752.25,744.93,37240170
VN30-IDX,20170908,751.39,744.72,751.39,744.45,43742992
VN30-IDX,20170907,744.99,742.18,746.42,739.3,49086040
VN30-IDX,20170906,743.42,737.72,745.34,737.72,42161540
VN30-IDX,20170905,741.36,755.32,755.32,741.36,73871844
VN30-IDX,20170904,758.42,764.7,764.7,757.47,49415730
VN30-IDX,20170903,763.08,762.13,766.12,761.2,47426510
VN30-IDX,20170902,761.44,757.79,761.44,757.79,50765038
VN30-IDX,20170901,757.88,755.7,761.17,755.7,64675565
VN30-IDX,20170831,756.04,753.85,759.52,750.75,63106700
VN30-IDX,20170830,758.36,755.5,758.81,754.64,55288900
VN30-IDX,20170829,756.24,748.88,756.24,747.61,71988890
VN30-IDX,20170828,749.86,742.77,749.86,742.2,54910350
VN30-IDX,20170827,743.7,744.5,747.08,741.96,36267820
VN30-IDX,20170826,745.79,739.68,745.84,736.34,48498496
VN30-IDX,20170825,737.93,727.79,737.93,727.79,40084624
VN30-IDX,20170824,729.54,727.57,730.86,723.45,36933938
VN30-IDX,20170823,728.47,737.37,739.48,728.47,47178617
VN30-IDX,20170822,736.64,735.45,736.64,732.08,51008480
VN30-IDX,20170821,737.77,745.44,745.73,737.77,61791560
VN30-IDX,20170820,741.32,739.25,743,733.6,72732450
VN30-IDX,20170819,745.59,758.53,758.74,741.66,83823370
VN30-IDX,20170818,759.97,762.77,764.53,759.01,49885800
VN30-IDX,20170817,761.36,759.8,761.36,755.81,51383180
VN30-IDX,20170816,757.57,756.08,758.72,752.27,52806280
VN30-IDX,20170815,752.75,750.4,753.2,743.13,66593330
VN30-IDX,20170814,750.79,761.69,761.69,748.06,68295435
VN30-IDX,20170813,761.61,771.89,771.98,761.61,83673170
VN30-IDX,20170812,770.58,768.8,771.13,768.37,67410770
VN30-IDX,20170811,765.87,764.91,765.87,761.28,52664140
VN30-IDX,20170810,763.92,765.88,767.28,760.9,82944580
VN30-IDX,20170809,765.8,765.52,770.56,765.52,69746950
VN30-IDX,20170808,765.41,763.63,766.29,763,72270856
VN30-IDX,20170807,761.21,759.13,763.14,758.94,54179800
VN30-IDX,20170806,757.1,754.16,757.1,751.2,55477750
VN30-IDX,20170805,755.07,761.96,761.96,754.23,71710620
VN30-IDX,20170804,760.8,759.9,762.27,757.98,56880670
VN30-IDX,20170803,758.24,757.44,758.98,752.69,77588340
VN30-IDX,20170802,757.94,759.65,761.62,757.13,75886230
