TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
VN-IDX,20171225,954.28,958.57,952.32,958.31,116010980
HNX-IDX,20171225,113.0327,113.4998,112.7334,113.2336,38729843
VN-IDX,20171222,947.54,952.7,945.18,952.32,143495140
HNX-IDX,20171222,113.5652,113.7485,112.6995,113.0327,46973785
VN-IDX,20171221,949.45,957.56,946.06,946.06,146624770
HNX-IDX,20171221,113.9452,114.6224,113.5558,113.5652,55203488
VN-IDX,20171220,945.12,958.82,945.12,953.51,174030140
HNX-IDX,20171220,113.3585,114.4985,113.2608,113.9452,62455111
VN-IDX,20171219,961.03,963.01,951.25,951.42,206136520
HNX-IDX,20171219,113.7141,114.1527,112.7419,113.3585,46772155
VN-IDX,20171218,945.9,958.06,935.16,958.06,226273570
HNX-IDX,20171218,111.6136,113.7141,111.608,113.7141,60280270
VN-IDX,20171215,933.63,939.57,932.96,935.16,229216880
HNX-IDX,20171215,111.4673,111.9812,111.0482,111.6136,46600897
VN-IDX,20171214,925.51,936.29,923.99,935.85,153866350
HNX-IDX,20171214,110.4459,111.5041,110.0353,111.4673,38508601
VN-IDX,20171213,932.05,932.48,922.97,924.4,124212210
HNX-IDX,20171213,110.9075,111.3266,109.1732,110.4459,51308547
VN-IDX,20171212,927.67,931.12,895.73,927.25,224964010
HNX-IDX,20171212,111.7807,112.3064,106.845,110.9075,87022980
VN-IDX,20171211,930.17,940.16,917.45,917.45,169874880
HNX-IDX,20171211,113.8084,113.8084,111.6998,111.7807,73461629
VN-IDX,20171208,938.41,944.75,930.29,940.16,152865680
HNX-IDX,20171208,114.5292,114.5375,113.5203,113.8084,43940256
VN-IDX,20171207,950.23,954.24,932.68,938.65,162666510
HNX-IDX,20171207,113.3678,114.5995,112.9673,114.5292,49173063
VN-IDX,20171206,950.21,953.3,932.64,947.64,224850640
HNX-IDX,20171206,113.2282,114.2188,112.1796,113.3678,70793716
VN-IDX,20171205,972.28,974.8,953.3,953.3,236933350
HNX-IDX,20171205,116.7048,116.797,113.1941,113.2282,77158450
VN-IDX,20171204,962.47,972.53,960.33,970.02,251877270
HNX-IDX,20171204,115.4921,116.798,115.4868,116.7048,93447722
VN-IDX,20171201,952.76,960.33,949.93,960.33,203815960
HNX-IDX,20171201,114.7217,115.5467,114.7217,115.4921,66895246
VN-IDX,20171130,956.17,960.11,949.93,949.93,224800960
HNX-IDX,20171130,113.948,115.7183,113.948,114.7217,71396760
VN-IDX,20171129,943.46,952.14,940.4,952.14,205905090
HNX-IDX,20171129,111.4993,113.9486,111.4305,113.948,63496661
VN-IDX,20171128,939.1,943.45,933.59,941.21,323513450
HNX-IDX,20171128,112.0273,112.4572,110.9263,111.4993,60276299
VN-IDX,20171127,933.38,947.06,931.29,938.61,225686210
HNX-IDX,20171127,110.8259,112.8755,110.8259,112.0273,84832784
VN-IDX,20171124,930.52,937.54,924.65,935.57,199567030
HNX-IDX,20171124,110.1794,110.8365,109.8004,110.8259,59965116
VN-IDX,20171123,938.31,943.15,927,933.7,204977410
HNX-IDX,20171123,109.2885,111.0772,109.1348,110.1794,80695295
VN-IDX,20171122,921.13,932.66,918.3,932.66,181118270
HNX-IDX,20171122,108.0216,109.303,107.3229,109.2885,49202359
VN-IDX,20171121,907.51,929.89,903.55,918.3,207029980
HNX-IDX,20171121,108.1131,108.8456,107.6774,108.0216,48266516
VN-IDX,20171120,890.34,903.55,889.55,903.55,144889070
HNX-IDX,20171120,108.3119,108.7096,107.6779,108.1131,39905006
VN-IDX,20171117,893.99,898.11,886.86,890.69,166298700
HNX-IDX,20171117,108.2933,109.2277,107.3876,108.3119,57434433
VN-IDX,20171116,880.17,892.8,880.17,892.8,169310530
HNX-IDX,20171116,107.4824,108.3541,107.4391,108.2933,54143368
VN-IDX,20171115,877.65,884.83,876.6,882.59,162040730
HNX-IDX,20171115,107.0645,107.7562,106.9333,107.4824,35163108
VN-IDX,20171114,881.15,884.14,874.74,880.9,168752870
HNX-IDX,20171114,106.7873,107.9826,106.533,107.0645,42974849
VN-IDX,20171113,871.7,879.34,868.21,879.34,186144640
HNX-IDX,20171113,106.3735,106.9449,106.1764,106.7873,58149448
VN-IDX,20171110,859.91,869.37,859.24,868.21,149261910
HNX-IDX,20171110,105.865,106.4992,105.5576,106.3735,36817583
VN-IDX,20171109,862.38,864.2,858.16,860.4,142224340
HNX-IDX,20171109,105.7381,106.3008,105.2669,105.865,31409508
VN-IDX,20171108,853.15,863.07,850.33,859.7,147034760
HNX-IDX,20171108,104.8298,105.7456,104.123,105.7381,38517650
VN-IDX,20171107,850.2,854.6,847.88,850.33,150611750
HNX-IDX,20171107,105.0923,105.1936,104.5267,104.8298,38013157
VN-IDX,20171106,846.12,849.09,843.73,849.09,128166040
HNX-IDX,20171106,104.3629,105.098,103.9231,105.0923,32493763
VN-IDX,20171103,833.16,843.73,831.58,843.73,149626500
HNX-IDX,20171103,103.4215,104.3635,102.5029,104.3629,45267956
